"symbol","model","eval_set","rmse","rsq","last_refreshed"
"ARDR","nnet","test",1.70273597411456,0.0999556122092252,"2022-07-18 13:30:40"
"ARDR","pcr","holdout",0.598289294513994,0.603005093695174,"2022-07-18 13:30:40"
"ARDR","pcr","test",1.35475668672948,0.197498857053045,"2022-07-18 13:30:40"
"ARDR","rf","holdout",1.41652703586354,0.177490039460485,"2022-07-18 13:30:40"
"ARDR","rf","test",1.49571520480843,0.140089499711899,"2022-07-18 13:30:40"
"ARDR","xgb","holdout",1.30022480597691,0.137189556809878,"2022-07-18 13:30:40"
"ARDR","xgb","test",2.83317202583903,0.0528788101305809,"2022-07-18 13:30:40"
"ATA","lm","holdout",1.17802029908225,0.632915862507357,"2022-07-18 13:30:40"
"ATA","lm","test",181.515937129283,0.304187492347192,"2022-07-18 13:30:40"
"ATA","nnet","holdout",2.09546219714962,0.291958713853545,"2022-07-18 13:30:40"
"ATA","nnet","test",29.9509940296903,0.144906831671338,"2022-07-18 13:30:40"
"ATA","pcr","holdout",1.9809582957276,0.238235450475584,"2022-07-18 13:30:40"
"ATA","pcr","test",28.6549256405624,0.38101343977159,"2022-07-18 13:30:40"
"ATA","rf","holdout",2.66813390891657,0.249282044403652,"2022-07-18 13:30:40"
"ATA","rf","test",28.8078337064513,0.143709953731012,"2022-07-18 13:30:40"
"ATA","xgb","holdout",1.79667683837792,0.109653578960134,"2022-07-18 13:30:40"
"ATA","xgb","test",29.1153112605525,0.0614113600305721,"2022-07-18 13:30:40"
"ATOM","lm","holdout",0.988274658099667,0.246669188461833,"2022-07-18 13:30:40"
"ATOM","lm","test",0.962939213322936,0.497921655470856,"2022-07-18 13:30:40"
"ATOM","nnet","holdout",1.17705539484897,0.118121287405773,"2022-07-18 13:30:40"
"ATOM","nnet","test",2.35258367889769,0.179938845896404,"2022-07-18 13:30:40"
"ATOM","pcr","holdout",1.24942546198158,0.0083874166113196,"2022-07-18 13:30:40"
"ATOM","pcr","test",1.34857123801183,0.17145883576202,"2022-07-18 13:30:40"
"ATOM","rf","holdout",2.37743090677134,0.0406801370619011,"2022-07-18 13:30:40"
"ATOM","rf","test",3.05148983802864,0.134566741768347,"2022-07-18 13:30:40"
"ATOM","xgb","holdout",1.998169753293,0.0257392851685495,"2022-07-18 13:30:40"
"ATOM","xgb","test",2.70596975634198,0.0934388545385901,"2022-07-18 13:30:40"
"AVA","lm","holdout",12.6127358887264,0.0115001605099568,"2022-07-18 13:30:40"
"AVA","lm","test",0.779753114264372,0.43661944513239,"2022-07-18 13:30:40"
"AVA","nnet","holdout",1.26351194374947,0.0192641692682143,"2022-07-18 13:30:40"
"AVA","nnet","test",2.31565735118984,0.111016841238322,"2022-07-18 13:30:40"
"AVA","pcr","holdout",1.25679826852501,0.0395509976428363,"2022-07-18 13:30:40"
"AVA","pcr","test",1.08004934352467,0.219229209829901,"2022-07-18 13:30:40"
"AVA","rf","holdout",2.04371894501383,0.0746171530139585,"2022-07-18 13:30:40"
"AVA","rf","test",1.57842885880267,0.100712950101573,"2022-07-18 13:30:40"
"AVA","xgb","holdout",1.9022038671086,0.0777168465460378,"2022-07-18 13:30:40"
"AVA","xgb","test",2.34150247935857,0.0592577076231954,"2022-07-18 13:30:40"
"BAKE","lm","holdout",2.39582238934988,0.233808797155466,"2022-07-18 13:30:40"
"BAKE","lm","test",1.80494112669905,0.453249207681871,"2022-07-18 13:30:40"
"BAKE","nnet","holdout",2.19822555770779,0.204748002384762,"2022-07-18 13:30:40"
"BAKE","nnet","test",2.21755796104625,0.131717365339536,"2022-07-18 13:30:40"
"BAKE","pcr","holdout",1.69242321719669,0.0537677761711282,"2022-07-18 13:30:40"
"BAKE","pcr","test",1.84080649488373,0.287815940014712,"2022-07-18 13:30:40"
"BAKE","rf","holdout",1.76357083368451,0.197658410141456,"2022-07-18 13:30:40"
"BAKE","rf","test",2.15216075546716,0.138826579357633,"2022-07-18 13:30:40"
"BAKE","xgb","holdout",2.98823927939348,0.0633132154229734,"2022-07-18 13:30:40"
"BAKE","xgb","test",2.7927843191566,0.0772636657869608,"2022-07-18 13:30:40"
"BAL","lm","holdout",2.83403709566789,0.00100192092530122,"2022-07-18 13:30:40"
"BAL","lm","test",1.7732799051435,0.121127693593269,"2022-07-18 13:30:40"
"BAL","nnet","holdout",5.62522166231591,0.424447219841829,"2022-07-18 13:30:40"
"BAL","nnet","test",1.92146736342419,0.152755296439803,"2022-07-18 13:30:40"
"BAL","pcr","holdout",2.10267806427667,0.247498353919934,"2022-07-18 13:30:40"
"BAL","pcr","test",1.65413025072531,0.116175193707587,"2022-07-18 13:30:40"
"BAL","rf","holdout",3.68995162776374,0.000988953073265613,"2022-07-18 13:30:40"
"BAL","rf","test",2.97714629145271,0.0655622610447778,"2022-07-18 13:30:40"
"BAL","xgb","holdout",2.78103004715595,0.000241522320853801,"2022-07-18 13:30:40"
"BAL","xgb","test",2.1772360867039,0.111615882691337,"2022-07-18 13:30:40"
"BAT","lm","holdout",0.700129149112532,0.631941302919336,"2022-07-18 13:30:40"
"BAT","lm","test",0.897535287280632,0.438009908286372,"2022-07-18 13:30:40"
"BAT","nnet","holdout",0.959343216266154,0.176832273530967,"2022-07-18 13:30:40"
"BAT","nnet","test",1.42430642704233,0.115132601704567,"2022-07-18 13:30:40"
"BAT","pcr","holdout",0.789231616528589,0.451075737881496,"2022-07-18 13:30:40"
"BAT","pcr","test",1.21405289036465,0.243057726280421,"2022-07-18 13:30:40"
"BAT","rf","holdout",4.03286630451765,0.156443573714615,"2022-07-18 13:30:40"
"BAT","rf","test",2.62163211976046,0.0978786557554482,"2022-07-18 13:30:40"
"BAT","xgb","holdout",4.30579975425376,0.214217685096729,"2022-07-18 13:30:40"
"BAT","xgb","test",3.01134443809716,0.0309490831299717,"2022-07-18 13:30:40"
"BCH","lm","holdout",1.3188735707723,0.488038459363978,"2022-07-18 13:30:40"
"BCH","lm","test",1.12702850680198,0.213220877187189,"2022-07-18 13:30:40"
"BCH","nnet","holdout",4.60409664428536,0.404990323906883,"2022-07-18 13:30:40"
"BCH","nnet","test",2.4485115465037,0.138670305874886,"2022-07-18 13:30:40"
"BCH","pcr","holdout",1.4571565490461,0.50730025727,"2022-07-18 13:30:40"
"BCH","pcr","test",1.20003656885713,0.1767193580271,"2022-07-18 13:30:40"
"BCH","rf","holdout",1.79746093142678,0.0109129225343737,"2022-07-18 13:30:40"
"BCH","rf","test",1.53958877172897,0.09070803303144,"2022-07-18 13:30:40"
"BCH","xgb","holdout",1.7429147912879,0.0320607873330593,"2022-07-18 13:30:40"
"BCH","xgb","test",1.75144659217104,0.0880825748446971,"2022-07-18 13:30:40"
"BDX","lm","holdout",0.797659354137491,0.260676327033322,"2022-07-18 13:30:40"
"BDX","lm","test",1.25379254928621,0.472560976256181,"2022-07-18 13:30:40"
"BDX","nnet","holdout",1.86033736064379,0.00224351500500582,"2022-07-18 13:30:40"
"BDX","nnet","test",1.6803895980443,0.263491570974716,"2022-07-18 13:30:40"
"BDX","pcr","holdout",0.95179404765687,0.0186343339932153,"2022-07-18 13:30:40"
"BDX","pcr","test",1.13908354368132,0.356892854086608,"2022-07-18 13:30:40"
"BDX","rf","holdout",2.73754375007825,0.0994222567935912,"2022-07-18 13:30:40"
"BDX","rf","test",1.64235485889483,0.170671919651214,"2022-07-18 13:30:40"
"BDX","xgb","holdout",2.20349304114334,0.133448522209116,"2022-07-18 13:30:40"
"BDX","xgb","test",2.33788949199391,0.0767474788951654,"2022-07-18 13:30:40"
"BICO","lm","holdout",1.09860633405677,0.494522707261139,"2022-07-18 13:30:40"
"BICO","lm","test",1.33895129073968,0.379912060269772,"2022-07-18 13:30:40"
"BICO","nnet","holdout",1.41032218491299,0.120854347272391,"2022-07-18 13:30:40"
"BICO","nnet","test",2.39113683652991,0.102697882093743,"2022-07-18 13:30:40"
"BICO","pcr","holdout",1.25466369706845,0.47793677247666,"2022-07-18 13:30:40"
"BICO","pcr","test",1.74352581388248,0.0885671367943318,"2022-07-18 13:30:40"
"BICO","rf","holdout",1.8585861949466,0.0244475106920497,"2022-07-18 13:30:40"
