"date_utc","date_time_utc","PLENTY_price"
2022-05-23,"2022-05-23 00:00:09",0.0283591937921714
2022-05-23,"2022-05-23 00:10:05",0.0283591937921714
2022-05-23,"2022-05-23 00:20:05",0.0283591937921714
2022-05-23,"2022-05-23 00:30:05",0.0282926488177272
2022-05-23,"2022-05-23 00:40:06",0.0282926488177272
2022-05-23,"2022-05-23 00:50:06",0.0282926488177272
2022-05-23,"2022-05-23 01:00:09",0.0282926488177272
2022-05-23,"2022-05-23 01:10:06",0.0282926488177272
2022-05-23,"2022-05-23 01:20:07",0.0282926488177272
2022-05-23,"2022-05-23 01:30:05",0.0281521727657179
2022-05-23,"2022-05-23 01:40:04",0.0281731352025061
2022-05-23,"2022-05-23 01:50:05",0.0281731352025061
2022-05-23,"2022-05-23 02:00:07",0.0281731352025061
2022-05-23,"2022-05-23 02:10:05",0.0281665677415039
2022-05-23,"2022-05-23 02:20:04",0.0281665677415039
2022-05-23,"2022-05-23 02:30:05",0.0281665677415039
2022-05-23,"2022-05-23 02:40:05",0.0281665677415039
2022-05-23,"2022-05-23 02:50:05",0.0282041133022525
2022-05-23,"2022-05-23 03:00:10",0.0282483989286676
2022-05-23,"2022-05-23 03:10:06",0.0282483989286676
2022-05-23,"2022-05-23 03:20:07",0.0282483989286676
2022-05-23,"2022-05-23 03:30:06",0.0282739288018854
2022-05-23,"2022-05-23 03:40:05",0.0285513425231152
2022-05-23,"2022-05-23 03:50:05",0.028475191049804
2022-05-23,"2022-05-23 04:00:07",0.028475191049804
2022-05-23,"2022-05-23 04:10:05",0.028475191049804
2022-05-23,"2022-05-23 04:20:05",0.028475191049804
2022-05-23,"2022-05-23 04:30:04",0.0286239678582224
2022-05-23,"2022-05-23 04:40:05",0.0285482179781843
2022-05-23,"2022-05-23 04:50:06",0.0285482179781843
2022-05-23,"2022-05-23 05:00:09",0.0285482179781843
2022-05-23,"2022-05-23 05:10:05",0.0285482179781843
2022-05-23,"2022-05-23 05:20:07",0.0285447102750701
2022-05-23,"2022-05-23 05:30:04",0.0285447102750701
2022-05-23,"2022-05-23 05:40:05",0.0285447102750701
2022-05-23,"2022-05-23 05:50:05",0.0285447102750701
2022-05-23,"2022-05-23 06:00:10",0.0285447102750701
2022-05-23,"2022-05-23 06:10:06",0.0285447102750701
2022-05-23,"2022-05-23 06:20:06",0.0285447102750701
2022-05-23,"2022-05-23 06:30:04",0.0285447102750701
2022-05-23,"2022-05-23 06:40:04",0.0284847421626608
2022-05-23,"2022-05-23 06:50:05",0.0284927061437659
2022-05-23,"2022-05-23 07:00:08",0.028619853305339
2022-05-23,"2022-05-23 07:10:05",0.0286791027737516
2022-05-23,"2022-05-23 07:20:06",0.0286713220642316
2022-05-23,"2022-05-23 07:30:05",0.0286713220642316
2022-05-23,"2022-05-23 07:40:05",0.0286451820755046
2022-05-23,"2022-05-23 07:50:05",0.0286451820755046
2022-05-23,"2022-05-23 08:00:09",0.0286451820755046
2022-05-23,"2022-05-23 08:10:06",0.0286451820755046
