"date_utc","date_time_utc","flame_price"
2022-04-24,"2022-04-24 00:00:12",4.31513727262112e-05
2022-04-24,"2022-04-24 00:10:05",4.31513727262112e-05
2022-04-24,"2022-04-24 00:20:05",4.31513727262112e-05
2022-04-24,"2022-04-24 00:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 00:40:04",4.31513727262112e-05
2022-04-24,"2022-04-24 00:50:05",4.31513727262112e-05
2022-04-24,"2022-04-24 01:00:08",4.31513727262112e-05
2022-04-24,"2022-04-24 01:10:04",4.31513727262112e-05
2022-04-24,"2022-04-24 01:20:06",4.31513727262112e-05
2022-04-24,"2022-04-24 01:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 01:40:06",4.31513727262112e-05
2022-04-24,"2022-04-24 01:50:04",4.31513727262112e-05
2022-04-24,"2022-04-24 02:00:09",4.31513727262112e-05
2022-04-24,"2022-04-24 02:10:05",4.31513727262112e-05
2022-04-24,"2022-04-24 02:20:06",4.31513727262112e-05
2022-04-24,"2022-04-24 02:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 02:40:04",4.31513727262112e-05
2022-04-24,"2022-04-24 02:50:04",4.31513727262112e-05
2022-04-24,"2022-04-24 03:00:06",4.31513727262112e-05
2022-04-24,"2022-04-24 03:10:07",4.31513727262112e-05
2022-04-24,"2022-04-24 03:20:05",4.31513727262112e-05
2022-04-24,"2022-04-24 03:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 03:40:04",4.31513727262112e-05
2022-04-24,"2022-04-24 03:50:06",4.31513727262112e-05
2022-04-24,"2022-04-24 04:00:07",4.31513727262112e-05
2022-04-24,"2022-04-24 04:10:05",4.31513727262112e-05
2022-04-24,"2022-04-24 04:20:05",4.31513727262112e-05
2022-04-24,"2022-04-24 04:30:04",4.31513727262112e-05
2022-04-24,"2022-04-24 04:40:06",4.31513727262112e-05
2022-04-24,"2022-04-24 04:50:04",4.31513727262112e-05
2022-04-24,"2022-04-24 05:00:09",4.31513727262112e-05
2022-04-24,"2022-04-24 05:10:05",4.31513727262112e-05
2022-04-24,"2022-04-24 05:20:05",4.31513727262112e-05
2022-04-24,"2022-04-24 05:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 05:40:05",4.31513727262112e-05
2022-04-24,"2022-04-24 05:50:05",4.31513727262112e-05
2022-04-24,"2022-04-24 06:00:08",4.31513727262112e-05
2022-04-24,"2022-04-24 06:10:06",4.31513727262112e-05
2022-04-24,"2022-04-24 06:20:05",4.31513727262112e-05
2022-04-24,"2022-04-24 06:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 06:40:04",4.31513727262112e-05
2022-04-24,"2022-04-24 06:50:05",4.31513727262112e-05
2022-04-24,"2022-04-24 07:00:09",4.31513727262112e-05
2022-04-24,"2022-04-24 07:10:05",4.31513727262112e-05
2022-04-24,"2022-04-24 07:20:05",4.31513727262112e-05
2022-04-24,"2022-04-24 07:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 07:40:05",4.31513727262112e-05
2022-04-24,"2022-04-24 07:50:05",4.31513727262112e-05
2022-04-24,"2022-04-24 08:00:08",4.31513727262112e-05
2022-04-24,"2022-04-24 08:10:05",4.31513727262112e-05
2022-04-24,"2022-04-24 08:20:06",4.31513727262112e-05
2022-04-24,"2022-04-24 08:30:04",4.31513727262112e-05
2022-04-24,"2022-04-24 08:40:06",4.31513727262112e-05
2022-04-24,"2022-04-24 08:50:05",4.31513727262112e-05
2022-04-24,"2022-04-24 09:00:07",4.31513727262112e-05
2022-04-24,"2022-04-24 09:10:04",4.31513727262112e-05
2022-04-24,"2022-04-24 09:20:05",4.31513727262112e-05
2022-04-24,"2022-04-24 09:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 09:40:06",4.31513727262112e-05
2022-04-24,"2022-04-24 09:50:06",4.31513727262112e-05
2022-04-24,"2022-04-24 10:00:08",4.31513727262112e-05
2022-04-24,"2022-04-24 10:10:04",4.31513727262112e-05
2022-04-24,"2022-04-24 10:20:06",4.31513727262112e-05
2022-04-24,"2022-04-24 10:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 10:40:06",4.31513727262112e-05
2022-04-24,"2022-04-24 10:50:05",4.31513727262112e-05
2022-04-24,"2022-04-24 11:00:08",4.31513727262112e-05
2022-04-24,"2022-04-24 11:10:06",4.31513727262112e-05
2022-04-24,"2022-04-24 11:20:05",4.31513727262112e-05
2022-04-24,"2022-04-24 11:30:06",4.31513727262112e-05
2022-04-24,"2022-04-24 11:40:06",4.31513727262112e-05
2022-04-24,"2022-04-24 11:50:06",4.31513727262112e-05
2022-04-24,"2022-04-24 12:00:09",4.31513727262112e-05
2022-04-24,"2022-04-24 12:10:07",4.31513727262112e-05
2022-04-24,"2022-04-24 12:20:06",4.31513727262112e-05
2022-04-24,"2022-04-24 12:30:04",4.31513727262112e-05
2022-04-24,"2022-04-24 12:40:05",4.31513727262112e-05
2022-04-24,"2022-04-24 12:50:06",4.31513727262112e-05
2022-04-24,"2022-04-24 13:00:09",4.31513727262112e-05
2022-04-24,"2022-04-24 13:10:08",4.31513727262112e-05
2022-04-24,"2022-04-24 13:20:05",4.31513727262112e-05
2022-04-24,"2022-04-24 13:30:06",4.31513727262112e-05
2022-04-24,"2022-04-24 13:40:05",4.31513727262112e-05
2022-04-24,"2022-04-24 13:50:05",4.31513727262112e-05
2022-04-24,"2022-04-24 14:00:08",4.31513727262112e-05
2022-04-24,"2022-04-24 14:10:06",4.31513727262112e-05
2022-04-24,"2022-04-24 14:20:04",4.31513727262112e-05
2022-04-24,"2022-04-24 14:30:05",4.31513727262112e-05
2022-04-24,"2022-04-24 14:40:05",4.3226144681589e-05
2022-04-24,"2022-04-24 14:50:04",4.3226144681589e-05
2022-04-24,"2022-04-24 15:00:13",4.3226144681589e-05
2022-04-24,"2022-04-24 15:10:05",4.3226144681589e-05
2022-04-24,"2022-04-24 15:20:06",4.3226144681589e-05
2022-04-24,"2022-04-24 15:30:05",4.3226144681589e-05
2022-04-24,"2022-04-24 15:40:05",4.3226144681589e-05
2022-04-24,"2022-04-24 15:50:04",4.32007884884005e-05
2022-04-24,"2022-04-24 16:00:09",4.32007884884005e-05
2022-04-24,"2022-04-24 16:10:05",4.32007884884005e-05
2022-04-24,"2022-04-24 16:20:05",4.32007884884005e-05
2022-04-24,"2022-04-24 16:30:05",4.31253663263145e-05
2022-04-24,"2022-04-24 16:40:05",4.31253663263145e-05
2022-04-24,"2022-04-24 16:50:04",4.31253663263145e-05
2022-04-24,"2022-04-24 17:00:08",4.31253663263145e-05
2022-04-24,"2022-04-24 17:10:05",4.31253663263145e-05
2022-04-24,"2022-04-24 17:20:06",4.31253663263145e-05
2022-04-24,"2022-04-24 17:30:05",4.31903622700026e-05
2022-04-24,"2022-04-24 17:40:05",4.31903622700026e-05
2022-04-24,"2022-04-24 17:50:05",4.31903622700026e-05
2022-04-24,"2022-04-24 18:00:08",4.32391835704986e-05
2022-04-24,"2022-04-24 18:10:04",4.32391835704986e-05
2022-04-24,"2022-04-24 18:20:05",4.32391835704986e-05
2022-04-24,"2022-04-24 18:30:05",4.32391835704986e-05
2022-04-24,"2022-04-24 18:40:05",4.32391835704986e-05
2022-04-24,"2022-04-24 18:50:05",4.3132920673865e-05
2022-04-24,"2022-04-24 19:00:08",4.3132920673865e-05
2022-04-24,"2022-04-24 19:10:05",4.3132920673865e-05
2022-04-24,"2022-04-24 19:20:06",4.3132920673865e-05
2022-04-24,"2022-04-24 19:30:05",4.26513660812292e-05
2022-04-24,"2022-04-24 19:40:05",4.26513660812292e-05
2022-04-24,"2022-04-24 19:50:05",4.26513660812292e-05
2022-04-24,"2022-04-24 20:00:09",4.26513660812292e-05
2022-04-24,"2022-04-24 20:10:04",4.26513660812292e-05
2022-04-24,"2022-04-24 20:20:06",4.26925532490297e-05
2022-04-24,"2022-04-24 20:30:05",4.26896994579549e-05
2022-04-24,"2022-04-24 20:40:06",4.26896994579549e-05
2022-04-24,"2022-04-24 20:50:05",4.25550848683215e-05
2022-04-24,"2022-04-24 21:00:08",4.26372756516919e-05
2022-04-24,"2022-04-24 21:10:04",4.26372756516919e-05
2022-04-24,"2022-04-24 21:20:06",4.26372756516919e-05
2022-04-24,"2022-04-24 21:30:05",4.26372756516919e-05
2022-04-24,"2022-04-24 21:40:05",4.2636653577644e-05
2022-04-24,"2022-04-24 21:50:06",4.2636653577644e-05
2022-04-24,"2022-04-24 22:00:07",4.2636653577644e-05
2022-04-24,"2022-04-24 22:10:06",4.2636653577644e-05
2022-04-24,"2022-04-24 22:20:05",4.2636653577644e-05
2022-04-24,"2022-04-24 22:30:06",4.2636653577644e-05
2022-04-24,"2022-04-24 22:40:05",4.2636653577644e-05
2022-04-24,"2022-04-24 22:50:05",4.2636653577644e-05
2022-04-24,"2022-04-24 23:00:07",4.2636653577644e-05
2022-04-24,"2022-04-24 23:10:05",4.2636653577644e-05
2022-04-24,"2022-04-24 23:20:04",4.2636653577644e-05
2022-04-24,"2022-04-24 23:30:05",4.26159138287039e-05
2022-04-24,"2022-04-24 23:40:06",4.26159138287039e-05
2022-04-24,"2022-04-24 23:50:05",4.26159138287039e-05
2022-04-25,"2022-04-25 00:00:12",4.26159138287039e-05
2022-04-25,"2022-04-25 00:10:05",4.26159138287039e-05
2022-04-25,"2022-04-25 00:20:06",4.26159138287039e-05
2022-04-25,"2022-04-25 00:30:05",4.26159138287039e-05
